flight_type,in_flight_no,origin,eta,bay,gate,reg_no,out_flight_no,dest,etd,ac_type
Full, KQ734, LLW, 6:15, 2C ,1,FFJ ,KQ640, MYD, 10:00, E90 
Full, KQ741, MPM, 21:05, J3A, None, FFD,,, 23:59, E90 
Full, KQ761, JNB, 17:40,20,20,FFA ,KQ486, DAR, 18:50, E90 
Full, KQ763, JNB, 21:25 ,14,14,CYD ,KQ304, DXB, 22:30 ,B738
Full, KQ765, JNB, 6:55,20,20,CYB ,KQ502, ACC, 9:00 ,B738
Full, KQ771, LAD, 21:15, 3C ,2, KQF, KQ624, MBA, 22:55,B737
Full, KQ780, HRE, 22:00, J4B, None, KYQ,,, 23:59, E90 
Full, KQ8603, MBA, 11:20, 3A ,2,BWG ,KQ8680, LAU, 12:30, AT7 
Full, KQ8605, MBA, 14:05, 3C,1,KQB ,KQ8606, MBA, 14:55 ,B73J 
Arr, KQ8607 ,MBA, 17:40, SPV2,, KQB,,, 19:04, B73J 
Park,, MBA, 19:10, SPV2,, KQB,,, 22:23, B73J 
Dep,, MBA ,22:29, SPV2, None, KQB,,, 23:59, B73J 
Arr, KQ861, BKK, 6:45,10,, KZG,, FIH ,8:09,B788
Park,, BKK, 8:15,10,, KZG,, FIH, 10:29,B788
Dep,, BKK, 10:35,10,10,KZG ,KQ554, FIH, 12:05,B788
Full, KQ8611, MBA, 22:40, 2A ,None, BWG,,, 23:59, AT7 
Full, KQ8613, MBA, 22:50, 3A ,None ,QUE,,, 23:59, AT7 
Full, KQ8653, KIS, 14:00, 3A ,2,QUE, KQ8692, UKU, 14:40, AT7 
Full, KQ8655, KIS, 19:40, 3B, None, BWG,,, 23:59, AT7 
Full, KQ8655., KIS, 7:50, 3A,1,BWG, KQ8602, MBA, 8:50, AT7 
Full, KQ8665, EDL, 19:10, 3A,2,QUE, KQ8612, MBA, 20:20, AT7 
Full, KQ8681, MYD, 16:20, 3A,2,BWG, KQ8654, KIS, 17:40, AT7 
Full, KQ8691, UKU, 11:30, 2A ,2,QHW ,KQ8652 ,KIS, 12:00, AT7 
Full, KQ8693, UKU, 16:30, 2A,2,BWG, KQ8610, MBA ,19:50, AT7 
Full, KQ871, HAN, 6:45,18,21, KZC, KQ210, BOM ,7:50,B788
Full, MS849, CAI ,7:10,7,7,,MS850, CAI, 8:10,A320
Full,PW713, ZNZ ,18:35, J5 ,23, PWA, PW712, ZNZ, 19:05, AT7 
Full, PW715, ZNZ, 21:15, J5 ,21,PWB ,PW728, JRO, 22:20, AT7 
Full, PW723, JRO, 7:00, J2B,24, PWC, PW722, JRO, 8:30, AT7 
Full, PW725, JRO, 19:20, J3B, None, PWC,,, 23:59, AT7 
Full, PW727, JRO, 15:15, 2C,22, PWC, PW726, JRO, 16:50, AT7 
Full, TM4460, APL, 15:00,20,20,, TM4461, APL, 16:15, E90 
Full, WB450, EBB, 10:40,6,7,9XRWJ, WB450, KGL, 11:25,B737
Full, WB452, EBB, 14:10, 2A,4,9XRWL, WB453, EBB, 14:50, Q400
Full, WB460, KGL, 20:55 ,3A ,4,9XRWI, WB460, EBB, 21:35, CRJ9
Arr, KQ417, EBB, 22:15, J2A,, KYS,, DAR, 23:39, E90 
Park,, EBB, 23:45, J2A,, KYS,, DAR, 6:09, E90 
Dep,, EBB, 6:15, J2A,22, KYS, KQ480, DAR, 7:45, E90 
Arr, KQ444, KGL, 21:15, J6,, FFF,, BJM, 22:39, E90 
Park,, KGL, 22:45, J6,, FFF,, BJM, 6:14, E90 
Dep,, KGL, 6:20, J6,23,FFF, KQ448, BJM, 7:50, E90 
Arr, KQ619, MBA, 22:45, 2C,, FFB,, ABV, 0:09, E90 
Park,, MBA, 0:15,6,, FFB,, ABV, 6:29, E90 
Dep,, MBA, 6:35,6,25, FFB, KQ536, ABV, 8:05, E90 
Arr, KQ487, DAR, 22:15, 2B,, KYQ,, JRO, 23:39, E90 
Park,, DAR, 23:45, 2B,, KYQ,, JRO, 6:29, E90 
Dep,, DAR, 6:35, 2B,20, KYQ, KQ432, JRO, 8:05, E90 
Arr, PW725, JRO, 19:20, 3A,, PWA,, ZNZ, 20:44, AT7 
Park,, JRO, 20:50, J3B,, PWA,, ZNZ, 6:34, AT7 
Dep,, JRO, 6:40, J3B,21, PWA ,PW710, ZNZ, 8:10, AT7 
Arr, KQ257, TNR, 20:15,9,, FFC,, HRE, 21:39, E90 
Park,, TNR, 21:45,9,, FFC,, HRE, 6:34, E90 
Dep,, TNR, 6:40,9,9, FFC, KQ706, HRE, 8:10, E90 
Arr, KQ542, COO ,20:55,12,, CYA,, LOS, 22:19,B738
Park,, COO, 22:25 ,12,,CYA,, LOS, 6:39,B738
Dep,, COO, 6:45,12,12, CYA ,KQ532, LOS, 8:15,B738
Arr, KQ485, DAR, 19:20, 4L,, KYR,, LLW, 20:44, E90 
Park,, DAR, 20:50,11,, KYR,, LLW, 6:44, E90 
Dep,, DAR, 6:50,11,10, KYR, KQ730, LLW, 8:20, E90 
Arr, KQ8665, EDL, 19:10, H5,, QUE,, UKU, 20:34, AT7 
Park,, EDL, 20:40, 2A,, QUE,, UKU, 7:54, AT7 
Dep,, EDL, 8:00, 2A,1, QUE, KQ8690, UKU, 9:30, AT7 
Arr, KQ8603, MBA, 12:25, SPV2,, KQB,, MBA ,13:49, B73J 
Park,, MBA, 13:55, SPV2,, KQB,, MBA, 9:44, B73J 
Dep,, MBA, 9:50, 3C,1,KQB, KQ8604, MBA, 11:20, B73J 
Arr, KQ704, LUN, 20:40, 3C,, FFD,, MPM, 22:04, E90 
Park,, LUN ,22:10, J3A,, FFD,, MPM ,10:34, E90 
Dep,, LUN ,10:40, J3A,21,FFD, KQ740, MPM, 12:10, E90 
Arr, KQ503, ACC, 22:00,16,, KYF,, TNR ,23:24,B738
Park,, ACC, 23:30,16,, KYF,, TNR, 11:09,B738
Dep,, ACC, 11:15 ,16,16,KYF, KQ256, TNR, 12:45,B738
Full, BA065, LHR, 20:30,11,10,,BA064, LHR ,23:15,B772
Full, EK719, DXB, 14:30,8,8,,EK720, DUB, 16:40,B773
Full, EY641, AUH, 12:47,7,7,,EY642, AUH, 13:40,A320
Full, G9734, SHJ ,13:06,10,10,, G9735, SHJ, 13:40,A320
Full, LX294, ZRH, 18:40,5,5,,LX295, DAR, 19:35,A330
Full, MK534, MRU, 11:50,18,18,, MK535, MRU, 13:05,A332
Full, QR1337, DOH ,9:30,5,5,, QR1338, DOH, 12:35,A320
Full, QR1339, DOH, 13:10,5,5,,QR1340, DOH, 17:35,A320
Full ,SA184, JNB, 15:15,11,10,,SA185, JNB, 16:05,A320
Full, SN463, BRU, 21:45,5,5,, SN463, BRU, 22:45,A332
Full, SV431, JED, 11:32,8,8,,SV430, JED, 13:10,A320
Full, TK607, IST, 7:25, 4L ,4,,TK608, IST, 10:35,A330
Arr, CZ633, CAN, 7:00, J5,,,, CAN, 8:24,A330
Park,, CAN, 8:30,19,,,, CAN, 11:59,A330
Dep,, CAN, 12:05,19,19,, CZ634, CAN ,13:35,A330
Full, EK721, DXB, 19:00 ,8,8,,EK722, DUB, 22:50,B773
Arr, SA180, JNB, 22:40,5,,,, JNB, 0:04,A320
Park,, JNB, 0:10,5,,,, JNB, 6:54,A320
Dep,, JNB, 7:00,5,5, ,SA181, JNB, 8:30,A320
Full ,TK6510, FIH ,18:30,4L ,4,, TK6492, IST, 21:00,A330
