flight, dest, bays   , gates
G9735,SHJ,10,10
EY642, AUH ,7,7
SA185,JHB,11,10
SN463,BRU,5,5
SA181,JHB,5,5
SV430, JED ,8,8
QR,DOH,5,5
EK720,DXB,8,8
BA064,LHR,11,10
TK6492,IST,4L;4R,4
TK607,IST ,4L;4R,4
LX295,DAR,5,5
MS850,CAI,7,7
CZ634,CAN,19,19
ET,ADD,8;9,8;9
KQ117,AMS,19,19
KQ112,CDG,19,19
KQ102,LHR,18,20B
KQ310,DXB,19,19
