bay ,    1,    2,    3,    4,    5,    7,    8,    9,   10,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,  20B
H1  ,  778,  833,    x,  936,  999, 1082, 1147, 1187, 1239, 1347, 1394, 1449, 1555, 1599, 1663, 1687, 1725, 1779, 1518, 1518, 1518, 1518, 1518
H2  ,  824,  879,    x,  982, 1045, 1128, 1193, 1233, 1285, 1393, 1440, 1495, 1601, 1645, 1709, 1733, 1771, 1825, 1564, 1564, 1564, 1564, 1564
H3  ,  869,  924,    x, 1027, 1090, 1173, 1238, 1278, 1330, 1438, 1485, 1540, 1646, 1690, 1754, 1778, 1816, 1870, 1609, 1609, 1609, 1609, 1609
H4  ,  912,  967,    x, 1070, 1133, 1216, 1281, 1321, 1373, 1481, 1528, 1583, 1689, 1733, 1797, 1821, 1859, 1913, 1652, 1652, 1652, 1652, 1652
H5  ,  957, 1012,    x, 1115, 1178, 1261, 1326, 1366, 1418, 1526, 1573, 1628, 1734, 1778, 1842, 1866, 1904, 1958, 1697, 1697, 1697, 1697, 1697
H6  , 1001, 1056,    x, 1159, 1222, 1305, 1370, 1410, 1462, 1570, 1617, 1672, 1778, 1822, 1886, 1910, 1948, 2002, 1741, 1741, 1741, 1741, 1741
H7  , 1047, 1102,    x, 1205, 1268, 1351, 1416, 1456, 1508, 1616, 1663, 1718, 1824, 1868, 1932, 1956, 1994, 2048, 1787, 1787, 1787, 1787, 1787
H8  , 1091, 1146,    x, 1249, 1312, 1395, 1460, 1500, 1552, 1660, 1707, 1762, 1868, 1912, 1976, 2000, 2038, 2092, 1831, 1831, 1831, 1831, 1831
H9  , 1135, 1190,    x, 1293, 1356, 1439, 1504, 1544, 1596, 1704, 1751, 1806, 1912, 1956, 2020, 2044, 2082, 2136, 1875, 1875, 1875, 1875, 1875
H10 , 1177, 1232,    x, 1335, 1398, 1481, 1546, 1586, 1638, 1746, 1793, 1848, 1954, 1998, 2062, 2086, 2124, 2178, 1917, 1917, 1917, 1917, 1917
SPV1,  188,  243,    x,  346,  409,  492,  557,  597,  649,  757,  804,  859,  965, 1009, 1073, 1097, 1135, 1189,  928,  928,  928,  928,  928
SPV2,  188,  243,    x,  346,  409,  492,  557,  597,  649,  757,  804,  859,  965, 1009, 1073, 1097, 1135, 1189,  928,  928,  928,  928,  928
