flight, bay
ET308, 8
KQ257, 3C
KQ444, 14
KQ485, 9
KQ533, 10
KQ584, J1
KQ617, 4R
KQ619, SPV1
KQ671, SPV2
KQ704, J3A
KQ752, 13
KQ8609, J8
KQ8655, 2A
KQ8665, 3B
PW725, 3A
SA180, 5
KQ487, J6
KQ524, 4L
