idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  
 89  ,    ft.Full  ,       KQ607  ,   MBA  ,15:35  ,  3C  ,   2  ,   FFE  ,        KQ610  , MBA  ,16:25  ,    E90  
 90  ,    ft.Full  ,       KQ609  ,   MBA  ,16:55  ,  3B  ,   1  ,   FFH  ,        KQ616  , MBA  ,18:50  ,    E90  
 91  ,    ft.Full  ,       KQ611  ,   MBA  ,19:05  ,  3C  ,   2  ,   FFE  ,        KQ618  , MBA  ,19:50  ,    E90  
 92  ,     ft.Arr  ,       KQ617  ,   MBA  ,21:30  ,  4R  ,      ,   FFK  ,               , MBA  ,22:54  ,    E90  
 93  ,    ft.Park  ,              ,   MBA  ,23:00  ,  4R  ,      ,   FFK  ,               , MBA  ,05:14  ,    E90  
 94  ,     ft.Dep  ,              ,   MBA  ,05:20  ,  4R  ,   2  ,   FFK  ,        KQ600  , MBA  ,06:50  ,    E90  
 95  ,    ft.Full  ,       KQ617  ,   MBA  ,21:30  , J4A  ,  22  ,   FFH  ,        KQ418  , EBB  ,22:55  ,    E90  
 96  ,     ft.Arr  ,       KQ619  ,   MBA  ,22:40  ,SPV1  ,      ,   FFH  ,               , JUB  ,00:04  ,    E90  
 97  ,    ft.Park  ,              ,   MBA  ,00:10  ,  20  ,      ,   FFH  ,               , JUB  ,06:14  ,    E90  
 98  ,     ft.Dep  ,              ,   MBA  ,06:20  ,  20  ,  20  ,   FFH  ,        KQ350  , JUB  ,07:50  ,    E90  
 99  ,    ft.Full  ,       KQ625  ,   MBA  ,06:15  ,  2B  ,   1  ,   FFE  ,        KQ640  , MYD  ,08:55  ,    E90  
100  ,    ft.Full  ,       KQ641  ,   MYD  ,11:45  ,  3B  ,   2  ,   FFE  ,        KQ606  , MBA  ,12:55  ,    E90  
101  ,    ft.Full  ,       KQ651  ,   KIS  ,09:10  ,  3B  ,   2  ,   KYP  ,        KQ654  , KIS  ,09:55  ,    E90  
102  ,    ft.Full  ,       KQ655  ,   KIS  ,12:15  ,  4L  ,   1  ,   KYP  ,        KQ656  , KIS  ,13:05  ,    E90  
103  ,    ft.Full  ,       KQ657  ,   KIS  ,15:25  ,  4L  ,   1  ,   KYP  ,        KQ670  , KIS  ,17:30  ,    E90  
104  ,     ft.Arr  ,       KQ671  ,   KIS  ,19:50  ,SPV2  ,      ,   KYD  ,               , DAR  ,21:14  ,   B738  
105  ,    ft.Park  ,              ,   KIS  ,21:20  ,  16  ,      ,   KYD  ,               , DAR  ,06:09  ,   B738  
106  ,     ft.Dep  ,              ,   KIS  ,06:15  ,  16  ,  16  ,   KYD  ,        KQ480  , DAR  ,07:45  ,   B738  
107  ,    ft.Full  ,       KQ671  ,   KIS  ,19:50  ,  3B  ,      ,   KYP  ,               ,      ,23:59  ,    E90  
108  ,     ft.Arr  ,       KQ704  ,   LUN  ,20:30  , J3A  ,      ,   FFA  ,               , SEZ  ,21:54  ,    E90  
109  ,    ft.Park  ,              ,   LUN  ,22:00  , J3A  ,      ,   FFA  ,               , SEZ  ,09:54  ,    E90  
